math-partial-sums,4
bitops-bitwise-and,4
bitops-3bit-bits-in-byte,4
string-fasta,4
3d-cube,4
access-nsieve,4
string-validate-input,4
controlflow-recursive,4
bitops-nsieve-bits,4
crypto-md5,4
date-format-xparb,4
3d-morph,4
3d-raytrace,3
date-format-tofte,4
access-fannkuch,4
math-cordic,4
access-binary-trees,4
string-base64,3
access-nbody,4
math-spectral-norm,4
crypto-sha1,4
crypto-aes,4
bitops-bits-in-byte,4
